filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
3233433_4cc04081c2_b.jpg,226137,"{}",1,0,"{""name"":""rect"",""x"":292,""y"":159,""width"":347,""height"":310}","{}"
19383047_394cfb3e45_b.jpg,196304,"{}",1,0,"{""name"":""rect"",""x"":403,""y"":11,""width"":438,""height"":642}","{}"
30212447_bcd5e2d0e8_b.jpg,145922,"{}",1,0,"{""name"":""rect"",""x"":241,""y"":298,""width"":340,""height"":404}","{}"
35276669_8f2c9e2325_c.jpg,111126,"{}",1,0,"{""name"":""rect"",""x"":143,""y"":41,""width"":456,""height"":384}","{}"
36767519_cb7000f1cb_c.jpg,71509,"{}",1,0,"{""name"":""rect"",""x"":328,""y"":136,""width"":190,""height"":214}","{}"
37210558_3d0583e800_c.jpg,54385,"{}",1,0,"{""name"":""rect"",""x"":86,""y"":118,""width"":414,""height"":212}","{}"
45673435_58383cef45_c.jpg,99694,"{}",1,0,"{""name"":""rect"",""x"":351,""y"":5,""width"":273,""height"":315}","{}"
260601745_429563d3c4_b.jpg,141102,"{}",1,0,"{""name"":""rect"",""x"":248,""y"":260,""width"":401,""height"":247}","{}"
272718428_e2224c384c_c.jpg,106259,"{}",1,0,"{""name"":""rect"",""x"":83,""y"":121,""width"":327,""height"":351}","{}"
357660784_f71d46e0da_b.jpg,103117,"{}",1,0,"{""name"":""rect"",""x"":433,""y"":182,""width"":163,""height"":174}","{}"
870417723_7ed3671647_b.jpg,159012,"{}",1,0,"{""name"":""rect"",""x"":175,""y"":79,""width"":517,""height"":655}","{}"
1140582757_722568ac29_b.jpg,123511,"{}",1,0,"{""name"":""rect"",""x"":153,""y"":106,""width"":386,""height"":434}","{}"
2150876691_c986710355_c.jpg,65081,"{}",1,0,"{""name"":""rect"",""x"":80,""y"":35,""width"":443,""height"":367}","{}"
2180652863_686418a22f_b.jpg,163912,"{}",1,0,"{""name"":""rect"",""x"":44,""y"":105,""width"":451,""height"":240}","{}"
2683483714_5581b03bf5_b.jpg,234035,"{}",1,0,"{""name"":""rect"",""x"":111,""y"":354,""width"":285,""height"":275}","{}"
2725683055_f8aa81ef6e_b.jpg,187390,"{}",1,0,"{""name"":""rect"",""x"":299,""y"":126,""width"":290,""height"":210}","{}"
2877618968_3ba99bfc9c_b.jpg,157520,"{}",1,0,"{""name"":""rect"",""x"":424,""y"":99,""width"":251,""height"":313}","{}"
3073600012_75c457883d_b.jpg,120756,"{}",1,0,"{""name"":""rect"",""x"":303,""y"":158,""width"":330,""height"":327}","{}"
3394956320_1dcb5e7a6d_b.jpg,116933,"{}",1,0,"{""name"":""rect"",""x"":396,""y"":70,""width"":409,""height"":421}","{}"
3638456486_d8e03a621d_b.jpg,140345,"{}",1,0,"{""name"":""rect"",""x"":558,""y"":236,""width"":306,""height"":322}","{}"
3718434654_197aecacc8_b.jpg,234475,"{}",1,0,"{""name"":""rect"",""x"":424,""y"":210,""width"":248,""height"":401}","{}"
3815865554_cae142aa9d_b.jpg,112033,"{}",1,0,"{""name"":""rect"",""x"":47,""y"":314,""width"":482,""height"":326}","{}"
3885502566_db16ff1a33_b.jpg,210792,"{}",1,0,"{""name"":""rect"",""x"":85,""y"":178,""width"":442,""height"":369}","{}"
3990381813_b35710acf5_b.jpg,122615,"{}",1,0,"{""name"":""rect"",""x"":429,""y"":196,""width"":345,""height"":233}","{}"
4136262319_25b7f5d958_b.jpg,173250,"{}",1,0,"{""name"":""rect"",""x"":281,""y"":61,""width"":705,""height"":570}","{}"
4555676639_6e95abb087_b.jpg,126528,"{}",1,0,"{""name"":""rect"",""x"":263,""y"":216,""width"":370,""height"":259}","{}"
